NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
Nd_c  1  1364.733141  0.023617  0.261971  -0.188061  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  2  1306.257322  0.023617  0.261971  -0.202379  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  3  717.461651  0.023617  0.261971  -0.191641  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  4  688.206606  0.023617  0.261971  -0.198799  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  5  552.052583  0.023617  0.261971  -0.193430  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  6  537.430531  0.023617  0.261971  -0.197010  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  7  508.847768  0.023617  0.261971  -0.194325  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  8  501.536404  0.023617  0.261971  -0.196115  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  9  497.122403  0.023617  0.261971  -0.194773  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  10  493.471179  0.023617  0.261971  -0.195667  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  11  493.750887  0.023617  0.261971  -0.194996  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  12  491.919304  0.023617  0.261971  -0.195444  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  13  492.674119  0.023617  0.261971  -0.195108  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  14  491.757391  0.023617  0.261971  -0.195332  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  15  492.290586  0.023617  0.261971  -0.195164  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  16  491.833120  0.023617  0.261971  -0.195276  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  17  492.137517  0.023617  0.261971  -0.195192  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  18  491.908778  0.023617  0.261971  -0.195248  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  19  492.070660  0.023617  0.261971  -0.195206  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nd_c  20  491.956280  0.023617  0.261971  -0.195234  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  1  1435.938114  0.023617  0.286625  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  2  1516.871382  0.023617  0.237317  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  3  717.848745  0.023617  0.274298  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  4  758.374024  0.023617  0.249644  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  5  543.411627  0.023617  0.268135  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  6  563.673211  0.023617  0.255807  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  7  502.326238  0.023617  0.265053  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  8  512.458035  0.023617  0.258889  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  9  493.321186  0.023617  0.263512  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  10  498.387299  0.023617  0.260430  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  11  491.702945  0.023617  0.262741  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  12  494.234303  0.023617  0.261201  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_c  13  491.615555  0.023617  0.262356  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
