                  BLNY           Nu_c           Nd_c           au_c           ad_c           bu_c           bd_c           Nu_T           Nd_T           au_T           ad_T           bu_T           bd_T
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    3.36425e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -3.36396e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    1.68220e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -1.68191e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    8.41173e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -8.40880e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    4.20660e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -4.20366e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    2.10403e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -2.10110e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    1.05275e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -1.04981e-03    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bd_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    1.46831e-06    7.97360e-01    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
